,Politics,http://rss.cnn.com/rss/cnn_allpolitics.rss,
,Technology,http://rss.cnn.com/rss/cnn_tech.rss,
,Entertainment,http://rss.cnn.com/rss/cnn_showbiz.rss,
,Travel,http://rss.cnn.com/rss/cnn_travel.rss,
,World,http://rss.cnn.com/rss/cnn_world.rss,
NY,World,http://rss.nytimes.com/services/xml/rss/nyt/World.xml,
,US,http://rss.nytimes.com/services/xml/rss/nyt/US.xml,
,Business,http://rss.nytimes.com/services/xml/rss/nyt/Business.xml,
,Technology,http://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,
,Sports,http://rss.nytimes.com/services/xml/rss/nyt/Sports.xml,
,Travel,http://rss.nytimes.com/services/xml/rss/nyt/Travel.xml,
USA Today,Sports,http://rssfeeds.usatoday.com/UsatodaycomSports-TopStories,
,World,http://rssfeeds.usatoday.com/UsatodaycomWorld-TopStories,
,Technology,http://rssfeeds.usatoday.com/usatoday-TechTopStories,
,Travel,http://rssfeeds.usatoday.com/UsatodaycomTravel-TopStories,
,Entertainment,http://rssfeeds.usatoday.com/usatoday-LifeTopStories,
,Business,http://rssfeeds.usatoday.com/UsatodaycomMoney-TopStories,
BBC News,World,http://feeds.bbci.co.uk/news/world/rss.xml,
,Politics,http://feeds.bbci.co.uk/news/politics/rss.xml,
,Technology,http://feeds.bbci.co.uk/news/technology/rss.xml,
,Entertainment,http://feeds.bbci.co.uk/news/entertainment_and_arts/rss.xml,
abc news,World,http://abcnews.go.com/abcnews/internationalheadlines,
,US,http://abcnews.go.com/abcnews/usheadlines,
,Politics,http://abcnews.go.com/abcnews/politicsheadlines,
,Business,http://abcnews.go.com/abcnews/moneyheadlines,
,Technology,http://abcnews.go.com/abcnews/technologyheadlines,
,Entertainment,http://abcnews.go.com/abcnews/entertainmentheadlines,
,Sports,http://abcnews.go.com/abcnews/sportsheadlines,
Fox news,Entertainment,http://feeds.foxnews.com/foxnews/entertainment,
,Politics,http://feeds.foxnews.com/foxnews/politics,
,Sports,http://feeds.foxnews.com/foxnews/sports,
,Technology,http://feeds.foxnews.com/foxnews/tech,
,Travel,http://feeds.foxnews.com/foxnews/internal/travel/mixed,
,US,http://feeds.foxnews.com/foxnews/national,
,World,http://feeds.foxnews.com/foxnews/world,
AP news ,US,http://hosted2.ap.org/atom/APDEFAULT/386c25518f464186bf7a2ac026580ce7,
,World,http://hosted2.ap.org/atom/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5,
,Politics,http://hosted2.ap.org/atom/APDEFAULT/89ae8247abe8493fae24405546e9a1aa,
,Business,http://hosted2.ap.org/atom/APDEFAULT/f70471f764144b2fab526d39972d37b3,
,Technology,http://hosted2.ap.org/atom/APDEFAULT/495d344a0d10421e9baa8ee77029cfbd,
,Sports,http://hosted2.ap.org/atom/APDEFAULT/347875155d53465d95cec892aeb06419,
,Entertainment,http://hosted2.ap.org/atom/APDEFAULT/4e67281c3f754d0696fbfdee0f3f1469,
Reuters news,Business,http://feeds.reuters.com/reuters/businessNews,
,Entertainment,http://feeds.reuters.com/reuters/entertainment,
,Politics,http://feeds.reuters.com/Reuters/PoliticsNews,
,Sports,http://feeds.reuters.com/reuters/sportsNews,
,Technology,http://feeds.reuters.com/reuters/technologyNews,
,US,http://feeds.reuters.com/Reuters/domesticNews,
,World,http://feeds.reuters.com/Reuters/worldNews,
Wall Street Journal,Opinions,http://www.wsj.com/xml/rss/3_7041.xml,
,World News,http://www.wsj.com/xml/rss/3_7085.xml,
,US Business,http://www.wsj.com/xml/rss/3_7014.xml,
,MArket,http://www.wsj.com/xml/rss/3_7031.xml,
,Technology,http://www.wsj.com/xml/rss/3_7455.xml,
,Lifestyle,http://www.wsj.com/xml/rss/3_7201.xml,
CNBC,World News,https://www.cnbc.com/id/100727362/device/rss/rss.html,
,US News,https://www.cnbc.com/id/15837362/device/rss/rss.html,
,Economy,https://www.cnbc.com/id/20910258/device/rss/rss.html,
,Politics,https://www.cnbc.com/id/10000113/device/rss/rss.html,
,Healthcare,https://www.cnbc.com/id/10000108/device/rss/rss.html,
Google News,Top News,https://news.google.com/news/rss/?gl=US&ned=us&hl=en,
,US,https://news.google.com/news/rss/headlines/section/topic/NATION?ned=us&hl=en&gl=US,
,Technology,https://news.google.com/news/rss/headlines/section/topic/TECHNOLOGY?ned=us&hl=en&gl=US,
,Entertainment,https://news.google.com/news/rss/headlines/section/topic/ENTERTAINMENT?ned=us&hl=en&gl=US,
,Business,https://news.google.com/news/rss/headlines/section/topic/BUSINESS?ned=us&hl=en&gl=US,
,Sports,https://news.google.com/news/rss/headlines/section/topic/SPORTS?ned=us&hl=en&gl=US,
,Science,https://news.google.com/news/rss/headlines/section/topic/SCIENCE?ned=us&hl=en&gl=US,
,Healthcare,https://news.google.com/news/rss/headlines/section/topic/HEALTH?ned=us&hl=en&gl=US,
The Guardian,US,https://www.theguardian.com/us-news/rss,
,Politics,https://www.theguardian.com/us-news/us-politics/rss,
,Sports,https://www.theguardian.com/us/sport/rss,
,Technology,https://www.theguardian.com/us/sport/rss,
,Business,https://www.theguardian.com/us/business/rss,
Sky News,World,http://feeds.skynews.com/feeds/rss/world.xml,
,US,http://feeds.skynews.com/feeds/rss/us.xml,
,Business,http://feeds.skynews.com/feeds/rss/business.xml,
,Politics,http://feeds.skynews.com/feeds/rss/politics.xml,
,Entertainment,http://feeds.skynews.com/feeds/rss/entertainment.xml,
,Strange News,http://feeds.skynews.com/feeds/rss/strange.xml,
